 97 Klotho 1999 08 10.000 123.69686 2.6698630 0.2559557 268.80323 159.82086 11.77666 7.63 0.15
 98 Ianthe 1999 08 10.000 313.97051 2.6848288 0.1884177 158.66668 354.16933 15.61354 8.84 0.15
 99 Dike 1999 08 10.000 53.64183 2.6610208 0.1989804 194.75621 41.86867 13.90421 9.43 0.15
 100 Hekate 1999 08 10.000 20.34613 3.0991113 0.1571441 185.45800 127.70474 6.40265 7.67 0.15
 101 Helena 1999 08 10.000 205.90118 2.5830913 0.1411210 346.65839 343.56622 10.19176 8.33 0.35
 102 Miriam 1999 08 10.000 56.94528 2.6592712 0.2553462 146.88279 211.01690 5.17124 9.26 0.15
 103 Hera 1999 08 10.000 197.85241 2.7020211 0.0808915 188.24147 136.33717 5.42316 7.66 0.15
 104 Klymene 1999 08 10.000 93.38424 3.1563524 0.1487504 29.31379 41.94226 2.79879 8.27 0.15
 105 Artemis 1999 08 10.000 27.24893 2.3729667 0.1764500 55.93551 188.50171 21.48318 8.57 0.10
 106 Dione 1999 08 10.000 49.86827 3.1646769 0.1762583 329.45947 62.41567 4.61786 7.41 0.15
 107 Camilla 1999 08 10.000 312.84997 3.4755398 0.0796612 308.27250 173.18383 10.04952 7.08 0.08
 108 Hecuba 1999 08 10.000 218.98497 3.2509726 0.0517580 184.89497 350.68564 4.25688 8.09 0.15
 109 Felicitas 1999 08 10.000 90.65808 2.6982908 0.2954917 56.54703 3.27554 7.88456 8.75 0.04
 110 Lydia 1999 08 10.000 76.88415 2.7323335 0.0808343 282.41096 57.02823 5.97327 7.80 0.20
 111 Ate 1999 08 10.000 168.02238 2.5937456 0.1018874 166.42304 305.96433 4.92145 8.02 0.15
 112 Iphigenia 1999 08 10.000 359.75008 2.4337167 0.1286664 17.03432 323.89978 2.60913 9.84 0.15
 113 Amalthea 1999 08 10.000 357.91451 2.3758337 0.0887712 79.08322 123.62787 5.03525 8.74 0.35
 114 Kassandra 1999 08 10.000 241.85964 2.6803706 0.1364910 352.21178 164.46864 4.93858 8.26 0.15
 115 Thyra 1999 08 10.000 244.26599 2.3796893 0.1919350 96.41732 309.17617 11.59672 7.51 0.12
 116 Sirona 1999 08 10.000 122.38770 2.7675828 0.1394741 93.51470 64.08311 3.57289 7.82 0.15
 117 Lomia 1999 08 10.000 203.86205 2.9912427 0.0248917 64.59844 349.12074 14.90937 7.95 0.15
 118 Peitho 1999 08 10.000 245.13672 2.4365849 0.1630714 33.51976 47.78100 7.74548 9.14 0.15
